"filename", "language", "Markdown", "Python", "pip requirements", "XML", "JavaScript", "TypeScript", "Shell Script", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PrepareCategoryPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 1, 16, 235
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PublishSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 866, 0, 2, 36, 904
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ReviewPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 1, 21, 309
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 4, 58
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SettingsUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 18, 353
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TabbedSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 8, 96
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TemplateField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 1, 11, 98
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ThemeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TranslationEditorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 530, 0, 0, 25, 555
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressPushPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 585, 0, 10, 42, 637
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 31
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/account.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/books.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/categories.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/client.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 9, 50
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generated-types.ts", "TypeScript", 0, 0, 0, 0, 0, 4023, 0, 0, 0, 0, 0, 983, 2, 5008
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generation.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/index.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/promptDefaults.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/settings.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/translations.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
